"Year","Age","AgeE","FSIM","Length_cm"
41,1,1.49815192020887,"LOW HIGH",9.76481517519974
82,0,0.499069064277773,"LOW HIGH",6.06835089100189
31,2,2.50120859476161,"LOW HIGH",12.7874445914997
70,2,2.50102187291744,"LOW HIGH",12.5227759660245
47,1,1.50002853299801,"LOW HIGH",9.56254470819766
95,3,3.50090675454723,"LOW HIGH",14.5919188779745
42,2,2.50028226525582,"LOW HIGH",13.3091360174151
21,2,2.5026499710078,"LOW HIGH",13.8693059435277
88,5,5.50013807232713,"LOW HIGH",16.8215532815787
25,1,1.49964382687178,"LOW HIGH",9.29372724838084
70,4,4.50059038231511,"LOW HIGH",15.4238899727283
23,4,4.50140826425573,"LOW HIGH",16.5853009932555
17,1,1.49943384820647,"LOW HIGH",10.0836231301657
80,0,0.499387987436693,"LOW HIGH",6.25762459327773
22,3,3.50102165718578,"LOW HIGH",15.4340194409662
5,4,4.49784661373877,"LOW HIGH",15.3913220966018
10,1,1.4982634787383,"LOW HIGH",9.8972611215173
91,0,0.500461674873351,"LOW HIGH",6.18033149208187
12,0,0.499832742690896,"LOW HIGH",5.95756929790845
79,2,2.49955329226391,"LOW HIGH",12.7738624878192
13,6,6.49933348386026,"LOW HIGH",17.1443346313607
51,1,1.49952472680581,"LOW HIGH",9.40940762117911
29,6,6.49961481411455,"LOW HIGH",18.8812763279088
25,12,12.5002182875658,"LOW HIGH",20.4247410700476
74,1,1.49958822880735,"LOW HIGH",10.2201611372235
97,1,1.49905093488163,"LOW HIGH",9.38215983725634
1,1,1.50061486869292,"LOW HIGH",10.2107036707209
29,0,0.500619664988304,"LOW HIGH",6.31427064952374
21,2,2.50087004373216,"LOW HIGH",12.6524411595653
35,2,2.50060049278094,"LOW HIGH",11.6210758035341
29,1,1.4996413990495,"LOW HIGH",9.69330276059946
78,4,4.49968522395581,"LOW HIGH",15.4815937661058
18,4,4.50098707891861,"LOW HIGH",15.5568061821094
18,7,7.50108317123494,"LOW HIGH",21.2205968110048
34,1,1.49919810347043,"LOW HIGH",9.51189497315044
91,0,0.500567817477057,"LOW HIGH",6.06413663572772
25,6,6.50018551862339,"LOW HIGH",20.6090798683825
87,3,3.50091860809157,"LOW HIGH",14.3568154686371
76,3,3.50026480608871,"LOW HIGH",14.4806421345623
99,1,1.50061089090041,"LOW HIGH",9.44809256143523
99,1,1.49966686447647,"LOW HIGH",9.94758806829952
69,1,1.50025875689734,"LOW HIGH",9.61549561005836
89,5,5.50026215332224,"LOW HIGH",17.0866583772959
23,5,5.49938572083782,"LOW HIGH",18.7978953296958
7,4,4.49776629166523,"LOW HIGH",14.137026075155
9,2,2.50022494892823,"LOW HIGH",12.2919165126989
28,1,1.50054899846292,"LOW HIGH",10.2834620795584
77,0,0.500490113717051,"LOW HIGH",5.78926907184009
6,4,4.49926195719817,"LOW HIGH",16.7553357817818
68,2,2.49994256327932,"LOW HIGH",12.9539767759831
25,5,5.49963901073209,"LOW HIGH",17.5573175295282
41,0,0.50014457913618,"LOW HIGH",6.02106765455889
68,1,1.49916680574319,"LOW HIGH",9.20824386256347
78,2,2.49885921071983,"LOW HIGH",12.4865793249075
29,3,3.50008997408797,"LOW HIGH",15.2850585278747
67,1,1.49899443007682,"LOW HIGH",10.117366045323
16,4,4.49909423472379,"LOW HIGH",19.5884199977953
79,0,0.499090449854592,"LOW HIGH",6.33811500345435
85,0,0.499272741905253,"LOW HIGH",6.39640147585317
21,1,1.50025970771659,"LOW HIGH",9.73403210021533
46,3,3.49974775128671,"LOW HIGH",15.754370040369
44,0,0.499476526032548,"LOW HIGH",6.37866870176013
59,0,0.499068610344504,"LOW HIGH",6.30498486596979
47,0,0.501805879585148,"LOW HIGH",6.01397279393706
66,2,2.49986667140363,"LOW HIGH",12.3743161954045
6,1,1.50114103660742,"LOW HIGH",9.88494877256408
29,0,0.499786565046074,"LOW HIGH",6.25963423102883
60,4,4.49911273286069,"LOW HIGH",16.326166692479
29,7,7.50098772126326,"LOW HIGH",20.8165198526572
67,2,2.49986183586507,"LOW HIGH",12.0180377991676
14,2,2.49810139436015,"LOW HIGH",12.5389447587514
32,1,1.50146446211531,"LOW HIGH",9.64992810759038
13,3,3.49860103992398,"LOW HIGH",15.6839449385385
37,1,1.49954951964342,"LOW HIGH",9.77003438023097
88,0,0.499807777539825,"LOW HIGH",6.36230308426064
91,3,3.49972926421203,"LOW HIGH",13.9840500344415
91,2,2.50007338154905,"LOW HIGH",12.5668152026931
59,4,4.5012123016359,"LOW HIGH",15.057847941095
38,0,0.499526982561789,"LOW HIGH",6.35150918674898
91,0,0.499272456605624,"LOW HIGH",6.36785317082746
29,2,2.49835888351842,"LOW HIGH",12.5741777507626
58,1,1.50024814552188,"LOW HIGH",9.24957090229968
93,7,7.50067427780889,"LOW HIGH",19.3165268886344
44,2,2.49865079019082,"LOW HIGH",13.6187623076765
21,1,1.50052430358513,"LOW HIGH",9.81332840658399
78,1,1.4995554380266,"LOW HIGH",9.80421968060723
78,0,0.501189189394263,"LOW HIGH",6.25495085974713
53,0,0.500956562436388,"LOW HIGH",6.32126382473663
37,0,0.500964167996807,"LOW HIGH",6.37601241461743
20,1,1.50053280989434,"LOW HIGH",10.9838805561444
41,3,3.50061129444512,"LOW HIGH",15.8895046646304
11,4,4.49981529538146,"LOW HIGH",16.4948928279125
37,3,3.49902997255314,"LOW HIGH",14.7110587220638
2,1,1.50140336085917,"LOW HIGH",9.61181546816719
2,0,0.50147664524043,"LOW HIGH",6.01426979136364
25,1,1.499534800095,"LOW HIGH",10.5661821240154
36,1,1.50046185092783,"LOW HIGH",9.7722690544033
29,2,2.50028160562877,"LOW HIGH",11.8393955366424
7,3,3.49861566760235,"LOW HIGH",14.1583646349828
61,1,1.50095461336474,"LOW HIGH",10.6672943414194
