"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
88,1,1.50002215439274,9.91483167360317,"MED MED MED",0.293787900381722,"late","med","R0",20.6985581084155
53,4,4.50017587584798,17.0510751627318,"MED MED MED",0.288197617372498,"early","med","R0",35.1826803875156
62,0,0.500967807349092,6.17455673902225,"MED MED MED",0.294663693453185,"early","med","R0",17.8280331543647
56,1,1.50039148707422,10.1030914375777,"MED MED MED",0.225790419452824,"early","med","R0",29.3653464876115
77,9,9.49913318563127,23.8023989372634,"MED MED MED",0.231317518441938,"late","med","R0",28.1336231157184
86,3,3.50143057622031,14.7849490558473,"MED MED MED",0.227467644540593,"late","med","R0",35.333100554999
63,2,2.50299149416083,12.7322199854929,"MED MED MED",0.226698908652179,"early","med","R0",6.34177332976833
71,0,0.500019254781471,5.96921442019546,"MED MED MED",0.271822586469352,"early","med","R0",11.6866398719139
58,4,4.50016820159365,14.7371834054929,"MED MED MED",0.279067829623818,"early","med","R0",33.892163913697
63,2,2.49950186403208,13.1854131179423,"MED MED MED",0.209245500573888,"early","med","R0",39.9279276491143
87,0,0.499699950663786,6.43321106742763,"MED MED MED",0.214485497586429,"late","med","R0",24.146923108492
79,5,5.50066931918796,18.6699305767284,"MED MED MED",0.211835429538041,"late","med","R0",6.67227363446727
53,6,6.49933425279029,19.2611264107347,"MED MED MED",0.209791984595358,"early","med","R0",27.6075203320943
82,0,0.499665492957191,5.82915398316265,"MED MED MED",0.237351597705856,"late","med","R0",32.6988744200207
50,5,5.50028364150984,16.0910739018299,"MED MED MED",0.295033178129233,"early","med","R0",16.8807532638311
96,0,0.500991671120756,6.38029799083254,"MED MED MED",0.2053030742798,"late","med","R0",28.4627707442269
89,3,3.49901247840185,15.8616351906776,"MED MED MED",0.25091951827053,"late","med","R0",41.8439260334708
67,1,1.50068372753406,9.28328918735493,"MED MED MED",0.251279435912147,"early","med","R0",13.6116556939669
59,0,0.500431776137824,6.19189995679205,"MED MED MED",0.259439073665999,"early","med","R0",3.64599415333942
96,1,1.50064616250524,9.75071108890245,"MED MED MED",0.258781680860557,"late","med","R0",48.0901160626672
53,1,1.50043229095113,10.5728157751927,"MED MED MED",0.231919110589661,"early","med","R0",39.1222042730078
64,2,2.50118203144393,11.9597893426025,"MED MED MED",0.265102969156578,"early","med","R0",19.4008844555356
67,0,0.499556874826473,5.97451550164599,"MED MED MED",0.251279435912147,"early","med","R0",6.74033093964681
87,1,1.49915839448634,10.0267727978636,"MED MED MED",0.214485497586429,"late","med","R0",23.1086062034592
92,0,0.500736084493756,6.15055872012264,"MED MED MED",0.246534172119573,"late","med","R0",37.269226135686
75,0,0.499699723871567,6.0894710478097,"MED MED MED",0.20910036873538,"late","med","R0",14.7531775059178
64,1,1.49934511259332,9.50415588762508,"MED MED MED",0.200326315639541,"early","med","R0",24.3041356327012
81,1,1.49966822317928,9.76767911019786,"MED MED MED",0.231260908721015,"late","med","R0",48.4458514256403
55,0,0.50052472350718,6.52994229475766,"MED MED MED",0.277168989228085,"early","med","R0",20.7652080105618
80,1,1.5003516286358,9.96092354009619,"MED MED MED",0.207563133584335,"late","med","R0",15.397402329836
50,1,1.5011621068715,10.2788631163704,"MED MED MED",0.251108968793415,"early","med","R0",1.9086214248091
60,0,0.501947080700053,6.09115783650236,"MED MED MED",0.299456352624111,"early","med","R0",24.4711237028241
77,5,5.50114437326506,16.4585529586761,"MED MED MED",0.237914540385827,"late","med","R0",14.7134349681437
66,1,1.5011566661664,9.8060881998069,"MED MED MED",0.232072305539623,"early","med","R0",4.62452311767265
56,0,0.500113385438671,6.21447738769943,"MED MED MED",0.238850532495417,"early","med","R0",12.0740825776011
57,2,2.50011002833744,12.874330966254,"MED MED MED",0.29668676496949,"early","med","R0",35.5977877276018
88,2,2.49690421661393,13.7195932658728,"MED MED MED",0.213392147584818,"late","med","R0",49.1010133177042
80,1,1.50016417846406,9.59742944564587,"MED MED MED",0.232341616949998,"late","med","R0",46.3959720218554
74,0,0.499847696239866,6.37950295431993,"MED MED MED",0.242775748949498,"early","med","R0",26.9684391329065
100,4,4.49914131992121,16.894723513032,"MED MED MED",0.249885814008303,"late","med","R0",41.0021807067096
82,4,4.5002253025593,16.1771484476404,"MED MED MED",0.231576282065362,"late","med","R0",41.6812977404334
87,1,1.50006860776423,9.70681117338548,"MED MED MED",0.245867590932176,"late","med","R0",30.4459421895444
58,1,1.50038651995638,9.27321957993188,"MED MED MED",0.281047793896869,"early","med","R0",3.96992507157847
73,0,0.498387148218061,6.30662903268283,"MED MED MED",0.241729139536619,"early","med","R0",43.357017391827
75,0,0.501163728415006,6.30544727497644,"MED MED MED",0.208731553796679,"late","med","R0",5.91507288627326
71,1,1.49920491147707,10.1435134677659,"MED MED MED",0.287650926620699,"early","med","R0",36.6749166045338
51,6,6.49956953567787,17.5659650494031,"MED MED MED",0.253762816009112,"early","med","R0",11.9695821078494
76,0,0.500670428473236,5.84876000765473,"MED MED MED",0.269940388598479,"late","med","R0",2.20814541680738
70,2,2.49820020789633,12.3363948745322,"MED MED MED",0.242993047344498,"early","med","R0",25.7006600615568
52,0,0.500108613752777,6.16837941284635,"MED MED MED",0.217214518855326,"early","med","R0",5.35838985815644
71,4,4.49955541832873,15.6418871298921,"MED MED MED",0.271822586469352,"early","med","R0",28.8701553246938
99,1,1.50006813985436,9.99097005061007,"MED MED MED",0.298724331473932,"late","med","R0",12.4360117246397
80,1,1.50101129157254,9.7582368683394,"MED MED MED",0.224797583231702,"late","med","R0",47.5069405511022
95,1,1.50124439492588,9.7558087516002,"MED MED MED",0.262521453457884,"late","med","R0",28.6084679770283
81,1,1.49977010957257,10.2196779863724,"MED MED MED",0.271491478173994,"late","med","R0",44.3783601047471
76,3,3.50082630100812,16.1727266718977,"MED MED MED",0.209194484353066,"late","med","R0",37.4286079197191
54,1,1.50020011713172,9.78414905972047,"MED MED MED",0.219195187371224,"early","med","R0",28.3765398082323
91,0,0.49984075678504,6.14925099242201,"MED MED MED",0.226954883779399,"late","med","R0",23.1492566759698
58,0,0.49947086709488,6.06923481408833,"MED MED MED",0.200772336032242,"early","med","R0",44.0302069764584
89,1,1.49806044738566,10.2817637025311,"MED MED MED",0.221318085375242,"late","med","R0",11.25441363547
64,3,3.50118875046452,14.4462047855238,"MED MED MED",0.200326315639541,"early","med","R0",25.0117231043987
91,2,2.49989506801014,12.8128220727527,"MED MED MED",0.296707472787239,"late","med","R0",42.7981020649895
89,1,1.49959294553082,10.0294749711357,"MED MED MED",0.221318085375242,"late","med","R0",3.79936977988109
73,0,0.50144214053315,6.64507521589198,"MED MED MED",0.286347158136778,"early","med","R0",42.8838358377106
85,0,0.501261810237578,6.16382823639123,"MED MED MED",0.286327711422928,"late","med","R0",39.7353958920576
87,4,4.49932313135948,17.0907664274193,"MED MED MED",0.245867590932176,"late","med","R0",43.4836470638402
55,1,1.50034557607607,9.69922689352903,"MED MED MED",0.277168989228085,"early","med","R0",31.6315080155618
62,7,7.50043976830525,19.4794898616023,"MED MED MED",0.294663693453185,"early","med","R0",10.9707600437105
91,2,2.49992443870026,11.897544155796,"MED MED MED",0.236135314079002,"late","med","R0",41.8282685568556
58,1,1.50019933500679,9.3349356747344,"MED MED MED",0.281047793896869,"early","med","R0",39.1780724166892
54,2,2.49979541357118,13.1847347959844,"MED MED MED",0.249124632566236,"early","med","R0",14.6197928115726
91,0,0.499291891035,6.29072956628485,"MED MED MED",0.236135314079002,"late","med","R0",37.1346027008258
51,2,2.50072053959601,12.0567456989745,"MED MED MED",0.293329550069757,"early","med","R0",0.87035623146221
79,0,0.499048214892257,6.54710828803072,"MED MED MED",0.252678137016483,"late","med","R0",44.0819180570543
89,4,4.49849926062182,16.0366214693165,"MED MED MED",0.218318241182715,"late","med","R0",21.5173367178068
53,0,0.501037934595726,6.57968785605912,"MED MED MED",0.231919110589661,"early","med","R0",26.446564309299
62,1,1.49864098943023,10.0862842257194,"MED MED MED",0.246244468074292,"early","med","R0",19.2439835518599
72,3,3.49990032194025,14.7521121060157,"MED MED MED",0.22805619915016,"early","med","R0",11.7746113683097
87,2,2.49951117128334,12.7646637992252,"MED MED MED",0.225650301389396,"late","med","R0",29.2061633779667
79,0,0.500088775801407,6.17463999933103,"MED MED MED",0.283885808871128,"late","med","R0",49.6071998262778
67,1,1.49995089823429,9.3177736307591,"MED MED MED",0.244173533888534,"early","med","R0",49.1384383756667
91,1,1.49962178125723,9.57870718473841,"MED MED MED",0.236135314079002,"late","med","R0",25.8818166912533
62,4,4.50003317072339,17.9192144581915,"MED MED MED",0.299159175623208,"early","med","R0",24.2734335944988
51,3,3.49991026235514,14.8163286566239,"MED MED MED",0.240858309762552,"early","med","R0",47.6305493619293
94,0,0.500351364885806,6.47904019895087,"MED MED MED",0.221214991388842,"late","med","R0",22.9724059463479
61,0,0.501205917850211,6.0388178423292,"MED MED MED",0.230878874124028,"early","med","R0",15.1612845133059
50,1,1.49889050972167,10.4753578695588,"MED MED MED",0.295033178129233,"early","med","R0",2.69203697098419
89,0,0.499914431386152,6.34999241972763,"MED MED MED",0.218318241182715,"late","med","R0",33.005985210184
71,2,2.50059132316568,13.1303556189171,"MED MED MED",0.248963058553636,"early","med","R0",31.4974208245985
84,1,1.49973131328935,10.0454002382918,"MED MED MED",0.235582845751196,"late","med","R0",45.4019967233762
51,1,1.50029854648115,9.20483103335542,"MED MED MED",0.293329550069757,"early","med","R0",3.92703306861222
80,0,0.497976149902687,6.36763111035274,"MED MED MED",0.224797583231702,"late","med","R0",43.6350246774964
50,1,1.49971144356182,9.72862103376822,"MED MED MED",0.20013576655183,"early","med","R0",33.5427925805561
52,0,0.500619800434485,6.30075444117302,"MED MED MED",0.217214518855326,"early","med","R0",24.205005064141
92,0,0.501318399273855,6.20338281481368,"MED MED MED",0.291471837693825,"late","med","R0",7.08127552643418
56,3,3.49976757178268,15.0725134796194,"MED MED MED",0.256519459956326,"early","med","R0",29.3085196404718
72,1,1.49909191090991,9.51139468466042,"MED MED MED",0.23231017277576,"early","med","R0",36.660270311404
59,0,0.498408601711956,6.38701790736562,"MED MED MED",0.259439073665999,"early","med","R0",32.9029798042029
70,0,0.500315630654104,6.10107550306433,"MED MED MED",0.242993047344498,"early","med","R0",47.6687133079395
83,0,0.497834034255017,6.13680262028922,"MED MED MED",0.244139641826041,"late","med","R0",30.5736861540936
74,1,1.50038045823678,9.27788931648494,"MED MED MED",0.264034474128857,"early","med","R0",23.1772331171669
89,2,2.4989491738277,12.7009646005203,"MED MED MED",0.226975870155729,"late","med","R0",36.6010681609623
76,2,2.49763308848378,13.7511138969098,"MED MED MED",0.27357651819475,"late","med","R0",10.1243150187656
82,0,0.498908708867604,6.27918236604066,"MED MED MED",0.237351597705856,"late","med","R0",6.4740544417873
86,2,2.50083692520414,12.0240478207441,"MED MED MED",0.208665542374365,"late","med","R0",41.5024917456321
71,3,3.49964136458652,13.842631820137,"MED MED MED",0.287650926620699,"early","med","R0",23.7143423641101
58,1,1.49761252140822,9.40017015958093,"MED MED MED",0.281047793896869,"early","med","R0",25.1169732538983
73,3,3.49955457305497,14.8193657092896,"MED MED MED",0.241729139536619,"early","med","R0",45.5042072222568
91,8,8.50207196694515,22.2908375173455,"MED MED MED",0.287460506008938,"late","med","R0",4.68582708854228
96,0,0.498908676915031,6.3269231610424,"MED MED MED",0.296038426784799,"late","med","R0",6.52541917515919
60,0,0.498336907458885,6.04053429317692,"MED MED MED",0.250118605373427,"early","med","R0",10.196339210961
56,0,0.502072466901457,6.59688952621284,"MED MED MED",0.256519459956326,"early","med","R0",38.5329530457966
85,0,0.500911484430636,6.46552643741452,"MED MED MED",0.241152985696681,"late","med","R0",21.4234280167148
55,0,0.498793889133607,6.31882573222125,"MED MED MED",0.231493103387766,"early","med","R0",37.9183679353446
54,0,0.502352328095024,6.28286308428074,"MED MED MED",0.219121098401956,"early","med","R0",29.2348854010925
50,8,8.50009101314188,23.0910086022665,"MED MED MED",0.281528267334215,"early","med","R0",2.5101650855504
78,0,0.499776545125137,6.23985412253738,"MED MED MED",0.238486646604724,"late","med","R0",2.44396881898865
81,0,0.498634736680193,6.37897694466038,"MED MED MED",0.231260908721015,"late","med","R0",35.6985726160929
52,0,0.49977911448573,6.14542342994799,"MED MED MED",0.217214518855326,"early","med","R0",36.0596830490977
53,1,1.50077522203853,9.41934496808431,"MED MED MED",0.288197617372498,"early","med","R0",45.6535908975638
70,0,0.498880812697641,6.24933326392323,"MED MED MED",0.242993047344498,"early","med","R0",4.77329768473282
